resume_text,job_description,label,compatibility_score
"Experienced professional in PMO. Proficient in project planning, risk management. Delivered impactful projects in the pmo domain.","Seeking a PMO with practical knowledge in risk management, project planning. Responsibilities include managing tasks related to pmo implementations.",1,91
"Experienced professional in Operations Manager. Proficient in team management, logistics. Delivered impactful projects in the operations manager domain.","Seeking a Operations Manager with practical knowledge in logistics, process optimization. Responsibilities include managing tasks related to operations manager implementations.",1,86
"Experienced professional in DevOps Engineer. Proficient in Docker, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a DevOps Engineer with practical knowledge in CI/CD, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",1,96
"Experienced professional in HR. Proficient in employee relations, recruitment. Delivered impactful projects in the hr domain.","Seeking a HR with practical knowledge in payroll systems, employee relations. Responsibilities include managing tasks related to hr implementations.",1,97
"Experienced professional in Electrical Engineering. Proficient in signal processing, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in signal processing, circuits. Responsibilities include managing tasks related to electrical engineering implementations.",1,94
"Experienced professional in ETL Developer. Proficient in Informatica, data warehousing. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in Informatica, data warehousing. Responsibilities include managing tasks related to etl developer implementations.",1,99
"Experienced professional in Database. Proficient in data modeling, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in performance tuning, SQL. Responsibilities include managing tasks related to database implementations.",1,92
"Experienced professional in Web Designing. Proficient in HTML, CSS. Delivered impactful projects in the web designing domain.","Seeking a Web Designing with practical knowledge in user experience, CSS. Responsibilities include managing tasks related to web designing implementations.",1,92
"Experienced professional in Business Analyst. Proficient in stakeholder communication, data modeling. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in data modeling, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,87
"Experienced professional in Hadoop. Proficient in big data pipelines, HDFS. Delivered impactful projects in the hadoop domain.","Seeking a Hadoop with practical knowledge in big data pipelines, MapReduce. Responsibilities include managing tasks related to hadoop implementations.",1,92
"Experienced professional in Electrical Engineering. Proficient in circuits, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in circuits, signal processing. Responsibilities include managing tasks related to electrical engineering implementations.",1,94
"Experienced professional in Database. Proficient in performance tuning, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in performance tuning, SQL. Responsibilities include managing tasks related to database implementations.",1,89
"Experienced professional in Automation Testing. Proficient in test scripts, JUnit. Delivered impactful projects in the automation testing domain.","Seeking a Automation Testing with practical knowledge in test scripts, Selenium. Responsibilities include managing tasks related to automation testing implementations.",1,88
"Experienced professional in Testing. Proficient in test cases, QA. Delivered impactful projects in the testing domain.","Seeking a Testing with practical knowledge in test cases, bug tracking. Responsibilities include managing tasks related to testing implementations.",1,96
"Experienced professional in Electrical Engineering. Proficient in signal processing, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in circuits, signal processing. Responsibilities include managing tasks related to electrical engineering implementations.",1,89
"Experienced professional in Database. Proficient in performance tuning, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in SQL, data modeling. Responsibilities include managing tasks related to database implementations.",1,99
"Experienced professional in Java Developer. Proficient in Spring Boot, REST APIs. Delivered impactful projects in the java developer domain.","Seeking a Java Developer with practical knowledge in Spring Boot, OOP. Responsibilities include managing tasks related to java developer implementations.",1,96
"Experienced professional in Business Analyst. Proficient in data modeling, requirement gathering. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in requirement gathering, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,95
"Experienced professional in Business Analyst. Proficient in requirement gathering, stakeholder communication. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in data modeling, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,97
"Experienced professional in PMO. Proficient in project planning, risk management. Delivered impactful projects in the pmo domain.","Seeking a PMO with practical knowledge in risk management, project planning. Responsibilities include managing tasks related to pmo implementations.",1,93
"Experienced professional in DevOps Engineer. Proficient in Docker, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a DevOps Engineer with practical knowledge in CI/CD, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",1,100
"Experienced professional in ETL Developer. Proficient in Informatica, data pipelines. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in data warehousing, Informatica. Responsibilities include managing tasks related to etl developer implementations.",1,96
"Experienced professional in Network Security Engineer. Proficient in penetration testing, threat detection. Delivered impactful projects in the network security engineer domain.","Seeking a Network Security Engineer with practical knowledge in threat detection, firewalls. Responsibilities include managing tasks related to network security engineer implementations.",1,99
"Experienced professional in Arts. Proficient in sculpture, painting. Delivered impactful projects in the arts domain.","Seeking a Arts with practical knowledge in painting, sculpture. Responsibilities include managing tasks related to arts implementations.",1,87
"Experienced professional in HR. Proficient in employee relations, recruitment. Delivered impactful projects in the hr domain.","Seeking a HR with practical knowledge in recruitment, payroll systems. Responsibilities include managing tasks related to hr implementations.",1,99
"Experienced professional in Python Developer. Proficient in Flask, Django. Delivered impactful projects in the python developer domain.","Seeking a Python Developer with practical knowledge in Django, pandas. Responsibilities include managing tasks related to python developer implementations.",1,95
"Experienced professional in Blockchain. Proficient in Ethereum, decentralized apps. Delivered impactful projects in the blockchain domain.","Seeking a Blockchain with practical knowledge in Ethereum, decentralized apps. Responsibilities include managing tasks related to blockchain implementations.",1,89
"Experienced professional in Blockchain. Proficient in smart contracts, Ethereum. Delivered impactful projects in the blockchain domain.","Seeking a Blockchain with practical knowledge in decentralized apps, smart contracts. Responsibilities include managing tasks related to blockchain implementations.",1,91
"Experienced professional in Hadoop. Proficient in big data pipelines, HDFS. Delivered impactful projects in the hadoop domain.","Seeking a Hadoop with practical knowledge in MapReduce, big data pipelines. Responsibilities include managing tasks related to hadoop implementations.",1,94
"Experienced professional in Electrical Engineering. Proficient in circuits, signal processing. Delivered impactful projects in the electrical engineering domain.","Seeking a Electrical Engineering with practical knowledge in circuits, power systems. Responsibilities include managing tasks related to electrical engineering implementations.",1,88
"Experienced professional in Java Developer. Proficient in Spring Boot, OOP. Delivered impactful projects in the java developer domain.","Seeking a Java Developer with practical knowledge in Spring Boot, OOP. Responsibilities include managing tasks related to java developer implementations.",1,97
"Experienced professional in Sales. Proficient in CRM, lead generation. Delivered impactful projects in the sales domain.","Seeking a Sales with practical knowledge in lead generation, target achievement. Responsibilities include managing tasks related to sales implementations.",1,98
"Experienced professional in Sales. Proficient in lead generation, CRM. Delivered impactful projects in the sales domain.","Seeking a Sales with practical knowledge in CRM, target achievement. Responsibilities include managing tasks related to sales implementations.",1,99
"Experienced professional in ETL Developer. Proficient in data pipelines, data warehousing. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in Informatica, data pipelines. Responsibilities include managing tasks related to etl developer implementations.",1,88
"Experienced professional in Hadoop. Proficient in big data pipelines, MapReduce. Delivered impactful projects in the hadoop domain.","Seeking a Hadoop with practical knowledge in MapReduce, HDFS. Responsibilities include managing tasks related to hadoop implementations.",1,98
"Experienced professional in Automation Testing. Proficient in test scripts, Selenium. Delivered impactful projects in the automation testing domain.","Seeking a Automation Testing with practical knowledge in Selenium, JUnit. Responsibilities include managing tasks related to automation testing implementations.",1,87
"Experienced professional in HR. Proficient in employee relations, payroll systems. Delivered impactful projects in the hr domain.","Seeking a HR with practical knowledge in employee relations, payroll systems. Responsibilities include managing tasks related to hr implementations.",1,98
"Experienced professional in Testing. Proficient in test cases, QA. Delivered impactful projects in the testing domain.","Seeking a Testing with practical knowledge in QA, bug tracking. Responsibilities include managing tasks related to testing implementations.",1,100
"Experienced professional in DevOps Engineer. Proficient in Docker, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a DevOps Engineer with practical knowledge in Docker, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",1,96
"Experienced professional in Blockchain. Proficient in Ethereum, decentralized apps. Delivered impactful projects in the blockchain domain.","Seeking a Blockchain with practical knowledge in Ethereum, decentralized apps. Responsibilities include managing tasks related to blockchain implementations.",1,100
"Experienced professional in Advocate. Proficient in court appearances, case law. Delivered impactful projects in the advocate domain.","Seeking a Advocate with practical knowledge in court appearances, case law. Responsibilities include managing tasks related to advocate implementations.",1,90
"Experienced professional in Database. Proficient in data modeling, SQL. Delivered impactful projects in the database domain.","Seeking a Database with practical knowledge in performance tuning, data modeling. Responsibilities include managing tasks related to database implementations.",1,85
"Experienced professional in PMO. Proficient in risk management, status reporting. Delivered impactful projects in the pmo domain.","Seeking a PMO with practical knowledge in project planning, risk management. Responsibilities include managing tasks related to pmo implementations.",1,96
"Experienced professional in Java Developer. Proficient in REST APIs, Spring Boot. Delivered impactful projects in the java developer domain.","Seeking a Java Developer with practical knowledge in Spring Boot, REST APIs. Responsibilities include managing tasks related to java developer implementations.",1,94
"Experienced professional in Arts. Proficient in art exhibitions, painting. Delivered impactful projects in the arts domain.","Seeking a Arts with practical knowledge in painting, art exhibitions. Responsibilities include managing tasks related to arts implementations.",1,98
"Experienced professional in Sales. Proficient in target achievement, CRM. Delivered impactful projects in the sales domain.","Seeking a Sales with practical knowledge in target achievement, lead generation. Responsibilities include managing tasks related to sales implementations.",1,97
"Experienced professional in Sales. Proficient in CRM, lead generation. Delivered impactful projects in the sales domain.","Seeking a Sales with practical knowledge in target achievement, CRM. Responsibilities include managing tasks related to sales implementations.",1,86
"Experienced professional in ETL Developer. Proficient in data pipelines, data warehousing. Delivered impactful projects in the etl developer domain.","Seeking a ETL Developer with practical knowledge in data warehousing, Informatica. Responsibilities include managing tasks related to etl developer implementations.",1,97
"Experienced professional in Business Analyst. Proficient in stakeholder communication, requirement gathering. Delivered impactful projects in the business analyst domain.","Seeking a Business Analyst with practical knowledge in requirement gathering, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",1,96
"Experienced professional in Mechanical Engineer. Proficient in CAD, fluid dynamics. Delivered impactful projects in the mechanical engineer domain.","Seeking a Mechanical Engineer with practical knowledge in CAD, fluid dynamics. Responsibilities include managing tasks related to mechanical engineer implementations.",1,99
"Experienced professional in PMO. Proficient in project planning, status reporting. Delivered impactful projects in the pmo domain.","Seeking a SAP Developer with practical knowledge in SAP HANA, module configuration. Responsibilities include managing tasks related to sap developer implementations.",0,59
"Experienced professional in Operations Manager. Proficient in team management, process optimization. Delivered impactful projects in the operations manager domain.","Seeking a Blockchain with practical knowledge in Ethereum, decentralized apps. Responsibilities include managing tasks related to blockchain implementations.",0,41
"Experienced professional in Network Security Engineer. Proficient in penetration testing, threat detection. Delivered impactful projects in the network security engineer domain.","Seeking a DevOps Engineer with practical knowledge in CI/CD, Kubernetes. Responsibilities include managing tasks related to devops engineer implementations.",0,47
"Experienced professional in Hadoop. Proficient in MapReduce, big data pipelines. Delivered impactful projects in the hadoop domain.","Seeking a Web Designing with practical knowledge in user experience, HTML. Responsibilities include managing tasks related to web designing implementations.",0,56
"Experienced professional in Electrical Engineering. Proficient in power systems, signal processing. Delivered impactful projects in the electrical engineering domain.","Seeking a SAP Developer with practical knowledge in ABAP, module configuration. Responsibilities include managing tasks related to sap developer implementations.",0,30
"Experienced professional in Java Developer. Proficient in Spring Boot, REST APIs. Delivered impactful projects in the java developer domain.","Seeking a Health and fitness with practical knowledge in nutrition, personal training. Responsibilities include managing tasks related to health and fitness implementations.",0,31
"Experienced professional in Java Developer. Proficient in OOP, REST APIs. Delivered impactful projects in the java developer domain.","Seeking a HR with practical knowledge in recruitment, employee relations. Responsibilities include managing tasks related to hr implementations.",0,32
"Experienced professional in Python Developer. Proficient in Flask, Django. Delivered impactful projects in the python developer domain.","Seeking a Mechanical Engineer with practical knowledge in fluid dynamics, thermodynamics. Responsibilities include managing tasks related to mechanical engineer implementations.",0,22
"Experienced professional in Mechanical Engineer. Proficient in thermodynamics, fluid dynamics. Delivered impactful projects in the mechanical engineer domain.","Seeking a PMO with practical knowledge in project planning, risk management. Responsibilities include managing tasks related to pmo implementations.",0,26
"Experienced professional in Automation Testing. Proficient in Selenium, test scripts. Delivered impactful projects in the automation testing domain.","Seeking a Arts with practical knowledge in sculpture, art exhibitions. Responsibilities include managing tasks related to arts implementations.",0,38
"Experienced professional in Network Security Engineer. Proficient in firewalls, penetration testing. Delivered impactful projects in the network security engineer domain.","Seeking a Hadoop with practical knowledge in big data pipelines, HDFS. Responsibilities include managing tasks related to hadoop implementations.",0,58
"Experienced professional in Health and fitness. Proficient in personal training, nutrition. Delivered impactful projects in the health and fitness domain.","Seeking a Network Security Engineer with practical knowledge in threat detection, firewalls. Responsibilities include managing tasks related to network security engineer implementations.",0,44
"Experienced professional in DotNet Developer. Proficient in ASP.NET, C#. Delivered impactful projects in the dotnet developer domain.","Seeking a Health and fitness with practical knowledge in nutrition, personal training. Responsibilities include managing tasks related to health and fitness implementations.",0,57
"Experienced professional in Sales. Proficient in CRM, lead generation. Delivered impactful projects in the sales domain.","Seeking a Java Developer with practical knowledge in Spring Boot, REST APIs. Responsibilities include managing tasks related to java developer implementations.",0,24
"Experienced professional in Automation Testing. Proficient in Selenium, JUnit. Delivered impactful projects in the automation testing domain.","Seeking a HR with practical knowledge in employee relations, recruitment. Responsibilities include managing tasks related to hr implementations.",0,23
"Experienced professional in SAP Developer. Proficient in module configuration, SAP HANA. Delivered impactful projects in the sap developer domain.","Seeking a Business Analyst with practical knowledge in requirement gathering, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",0,33
"Experienced professional in Web Designing. Proficient in HTML, user experience. Delivered impactful projects in the web designing domain.","Seeking a Java Developer with practical knowledge in Spring Boot, OOP. Responsibilities include managing tasks related to java developer implementations.",0,59
"Experienced professional in Network Security Engineer. Proficient in threat detection, penetration testing. Delivered impactful projects in the network security engineer domain.","Seeking a PMO with practical knowledge in status reporting, project planning. Responsibilities include managing tasks related to pmo implementations.",0,28
"Experienced professional in Data Science. Proficient in Python, data analysis. Delivered impactful projects in the data science domain.","Seeking a Arts with practical knowledge in art exhibitions, painting. Responsibilities include managing tasks related to arts implementations.",0,27
"Experienced professional in DotNet Developer. Proficient in ASP.NET, MVC architecture. Delivered impactful projects in the dotnet developer domain.","Seeking a Automation Testing with practical knowledge in test scripts, JUnit. Responsibilities include managing tasks related to automation testing implementations.",0,31
"Experienced professional in Database. Proficient in SQL, performance tuning. Delivered impactful projects in the database domain.","Seeking a Electrical Engineering with practical knowledge in circuits, signal processing. Responsibilities include managing tasks related to electrical engineering implementations.",0,57
"Experienced professional in Operations Manager. Proficient in process optimization, logistics. Delivered impactful projects in the operations manager domain.","Seeking a Business Analyst with practical knowledge in data modeling, stakeholder communication. Responsibilities include managing tasks related to business analyst implementations.",0,51
"Experienced professional in DotNet Developer. Proficient in MVC architecture, ASP.NET. Delivered impactful projects in the dotnet developer domain.","Seeking a SAP Developer with practical knowledge in ABAP, SAP HANA. Responsibilities include managing tasks related to sap developer implementations.",0,36
"Experienced professional in Mechanical Engineer. Proficient in fluid dynamics, CAD. Delivered impactful projects in the mechanical engineer domain.","Seeking a Advocate with practical knowledge in legal advice, case law. Responsibilities include managing tasks related to advocate implementations.",0,25
"Experienced professional in DevOps Engineer. Proficient in CI/CD, Kubernetes. Delivered impactful projects in the devops engineer domain.","Seeking a Java Developer with practical knowledge in REST APIs, Spring Boot. Responsibilities include managing tasks related to java developer implementations.",0,38
"Experienced professional in DotNet Developer. Proficient in C#, ASP.NET. Delivered impactful projects in the dotnet developer domain.","Seeking a Database with practical knowledge in performance tuning, data modeling. Responsibilities include managing tasks related to database implementations.",0,53
"Experienced professional in Electrical Engineering. Proficient in circuits, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a DevOps Engineer with practical knowledge in Kubernetes, CI/CD. Responsibilities include managing tasks related to devops engineer implementations.",0,58
"Experienced professional in HR. Proficient in recruitment, payroll systems. Delivered impactful projects in the hr domain.","Seeking a Hadoop with practical knowledge in MapReduce, big data pipelines. Responsibilities include managing tasks related to hadoop implementations.",0,39
"Experienced professional in DotNet Developer. Proficient in ASP.NET, MVC architecture. Delivered impactful projects in the dotnet developer domain.","Seeking a Electrical Engineering with practical knowledge in signal processing, circuits. Responsibilities include managing tasks related to electrical engineering implementations.",0,50
"Experienced professional in Java Developer. Proficient in OOP, Spring Boot. Delivered impactful projects in the java developer domain.","Seeking a Operations Manager with practical knowledge in logistics, process optimization. Responsibilities include managing tasks related to operations manager implementations.",0,21
"Experienced professional in Automation Testing. Proficient in Selenium, JUnit. Delivered impactful projects in the automation testing domain.","Seeking a Database with practical knowledge in performance tuning, SQL. Responsibilities include managing tasks related to database implementations.",0,41
"Experienced professional in DevOps Engineer. Proficient in Docker, CI/CD. Delivered impactful projects in the devops engineer domain.","Seeking a ETL Developer with practical knowledge in data warehousing, Informatica. Responsibilities include managing tasks related to etl developer implementations.",0,57
"Experienced professional in Automation Testing. Proficient in JUnit, test scripts. Delivered impactful projects in the automation testing domain.","Seeking a Mechanical Engineer with practical knowledge in CAD, fluid dynamics. Responsibilities include managing tasks related to mechanical engineer implementations.",0,53
"Experienced professional in SAP Developer. Proficient in module configuration, SAP HANA. Delivered impactful projects in the sap developer domain.","Seeking a Hadoop with practical knowledge in MapReduce, HDFS. Responsibilities include managing tasks related to hadoop implementations.",0,40
"Experienced professional in Web Designing. Proficient in CSS, HTML. Delivered impactful projects in the web designing domain.","Seeking a HR with practical knowledge in payroll systems, employee relations. Responsibilities include managing tasks related to hr implementations.",0,53
"Experienced professional in DevOps Engineer. Proficient in Docker, CI/CD. Delivered impactful projects in the devops engineer domain.","Seeking a HR with practical knowledge in payroll systems, recruitment. Responsibilities include managing tasks related to hr implementations.",0,28
"Experienced professional in HR. Proficient in employee relations, payroll systems. Delivered impactful projects in the hr domain.","Seeking a Data Science with practical knowledge in Python, machine learning. Responsibilities include managing tasks related to data science implementations.",0,56
"Experienced professional in ETL Developer. Proficient in data warehousing, data pipelines. Delivered impactful projects in the etl developer domain.","Seeking a Blockchain with practical knowledge in smart contracts, Ethereum. Responsibilities include managing tasks related to blockchain implementations.",0,49
"Experienced professional in Electrical Engineering. Proficient in circuits, power systems. Delivered impactful projects in the electrical engineering domain.","Seeking a Java Developer with practical knowledge in REST APIs, OOP. Responsibilities include managing tasks related to java developer implementations.",0,54
"Experienced professional in DotNet Developer. Proficient in ASP.NET, MVC architecture. Delivered impactful projects in the dotnet developer domain.","Seeking a Network Security Engineer with practical knowledge in threat detection, firewalls. Responsibilities include managing tasks related to network security engineer implementations.",0,44
"Experienced professional in Sales. Proficient in target achievement, CRM. Delivered impactful projects in the sales domain.","Seeking a DevOps Engineer with practical knowledge in Kubernetes, Docker. Responsibilities include managing tasks related to devops engineer implementations.",0,32
"Experienced professional in Advocate. Proficient in court appearances, legal advice. Delivered impactful projects in the advocate domain.","Seeking a Network Security Engineer with practical knowledge in threat detection, firewalls. Responsibilities include managing tasks related to network security engineer implementations.",0,24
"Experienced professional in ETL Developer. Proficient in Informatica, data warehousing. Delivered impactful projects in the etl developer domain.","Seeking a Automation Testing with practical knowledge in Selenium, test scripts. Responsibilities include managing tasks related to automation testing implementations.",0,49
"Experienced professional in Mechanical Engineer. Proficient in CAD, fluid dynamics. Delivered impactful projects in the mechanical engineer domain.","Seeking a ETL Developer with practical knowledge in Informatica, data warehousing. Responsibilities include managing tasks related to etl developer implementations.",0,35
"Experienced professional in Business Analyst. Proficient in stakeholder communication, data modeling. Delivered impactful projects in the business analyst domain.","Seeking a Java Developer with practical knowledge in Spring Boot, REST APIs. Responsibilities include managing tasks related to java developer implementations.",0,51
"Experienced professional in Electrical Engineering. Proficient in signal processing, circuits. Delivered impactful projects in the electrical engineering domain.","Seeking a SAP Developer with practical knowledge in SAP HANA, module configuration. Responsibilities include managing tasks related to sap developer implementations.",0,52
"Experienced professional in Testing. Proficient in bug tracking, test cases. Delivered impactful projects in the testing domain.","Seeking a DotNet Developer with practical knowledge in C#, MVC architecture. Responsibilities include managing tasks related to dotnet developer implementations.",0,49
"Experienced professional in Mechanical Engineer. Proficient in fluid dynamics, thermodynamics. Delivered impactful projects in the mechanical engineer domain.","Seeking a Arts with practical knowledge in painting, art exhibitions. Responsibilities include managing tasks related to arts implementations.",0,49
"Experienced professional in Mechanical Engineer. Proficient in fluid dynamics, CAD. Delivered impactful projects in the mechanical engineer domain.","Seeking a Advocate with practical knowledge in legal advice, case law. Responsibilities include managing tasks related to advocate implementations.",0,56
"Experienced professional in Python Developer. Proficient in Django, Flask. Delivered impactful projects in the python developer domain.","Seeking a Advocate with practical knowledge in case law, court appearances. Responsibilities include managing tasks related to advocate implementations.",0,34
